Item,Description,Qty,Price(€),Url,Total
1pcs MFRC-522,RFID Reader and Card,1,1.68,https://www.aliexpress.com/item/32502259949.html,1.68
Mini Speakers 4ohm 3W,Speaker,2,1.51,https://www.aliexpress.com/item/1005010215641447.html,1.51
DFPlayer Mini,DFPlayer,1,0.89,https://www.aliexpress.com/item/1005008710314390.html,0.89
SD Card 2TB,SD Card,1,4.44,https://www.aliexpress.com/item/1005009550590600.html,4.44
ESP32-C3 Supermini,Dev Board,1,2.83,https://www.aliexpress.com/item/1005009495310442.html,2.83
,,,,Shipping,9.15
,,,,Total,20.5
